,feature,distr
0,backtest-stability-avg,norm
1,backtest-stability-std,exponweib
2,p-value,exponweib
3,iteration,weibull_min
4,backtest-max-loss-days,genextreme
5,backtest-max-profit-days,genextreme
6,backtest-sortino-ratio,norm
7,backtest-probabilistic-sharpe-ratio,genextreme
8,backtest-skew,genextreme
9,backtest-kurtosis,exponweib
10,backtest-calmar-ratio,exponweib
11,backtest-avg-profit,genextreme
12,backtest-avg-loss,genextreme
13,backtest-profit-days-pct,exponweib
14,backtest-profit-factor,exponweib
15,backtest-sharpe-ratio,norm
16,backtest-avg-return,norm
17,backtest-max-dd-pct,exponweib
18,backtest-recovery-factor,exponweib
19,backtest-total-pl,weibull_min
20,backtest-post-p-value,genextreme
21,backtest-trades,norm
22,backtest-no-retrun-max-loss-days,genextreme
23,backtest-no-retrun-max-profit-days,genextreme
24,backtest-no-retrun-sortino-ratio,norm
25,backtest-no-retrun-probabilistic-sharpe-ratio,exponweib
26,backtest-no-retrun-skew,norm
27,backtest-no-retrun-kurtosis,exponweib
28,backtest-no-retrun-calmar-ratio,exponweib
29,backtest-no-retrun-avg-profit,genextreme
30,backtest-no-retrun-avg-loss,genextreme
31,backtest-no-retrun-profit-days-pct,exponweib
32,backtest-no-retrun-profit-factor,norm
33,backtest-no-retrun-sharpe-ratio,norm
34,backtest-no-retrun-avg-return,norm
35,backtest-no-retrun-max-dd-pct,exponweib
36,backtest-no-retrun-recovery-factor,genextreme
37,backtest-no-retrun-total-pl,weibull_min
38,backtest-no-retrun-post-p-value,exponweib
39,backtest-no-retrun-trades,norm
40,forward-max-loss-days,genextreme
41,forward-max-profit-days,genextreme
42,forward-sortino-ratio,norm
43,forward-probabilistic-sharpe-ratio,genextreme
44,forward-skew,norm
45,forward-kurtosis,weibull_min
46,forward-calmar-ratio,genextreme
47,forward-avg-profit,genextreme
48,forward-avg-loss,weibull_min
49,forward-profit-days-pct,exponweib
50,forward-profit-factor,genextreme
51,forward-sharpe-ratio,norm
52,forward-avg-return,exponweib
53,forward-max-dd-pct,exponweib
54,forward-recovery-factor,genextreme
55,forward-total-pl,exponweib
56,forward-post-p-value,weibull_min
57,forward-trades,genextreme
58,forward-no-retrun-max-loss-days,genextreme
59,forward-no-retrun-max-profit-days,genextreme
60,forward-no-retrun-sortino-ratio,norm
61,forward-no-retrun-probabilistic-sharpe-ratio,exponweib
62,forward-no-retrun-skew,weibull_min
63,forward-no-retrun-kurtosis,exponweib
64,forward-no-retrun-calmar-ratio,norm
65,forward-no-retrun-avg-profit,genextreme
66,forward-no-retrun-avg-loss,weibull_min
67,forward-no-retrun-profit-days-pct,exponweib
68,forward-no-retrun-profit-factor,genextreme
69,forward-no-retrun-sharpe-ratio,norm
70,forward-no-retrun-avg-return,weibull_min
71,forward-no-retrun-max-dd-pct,exponweib
72,forward-no-retrun-recovery-factor,genextreme
73,forward-no-retrun-total-pl,exponweib
74,forward-no-retrun-post-p-value,norm
75,forward-no-retrun-trades,genextreme
76,backtest-information-ratio,genextreme
77,complexity,norm
78,class,norm
